,MP,SP,SP_primal
1.0,19797.643069705053,19777.213230817546,
2.0,19797.688468715383,19770.23227901991,19773.450345840105
3.0,19797.688468715383,19769.781492054,19772.89450249136
4.0,19798.069162790278,19771.481434007506,19772.19539682846
5.0,19798.069162790285,19768.608833408784,19768.646163374786
6.0,19798.06916279028,19768.66780985667,19768.72733696627
7.0,19798.069162790278,19768.607359031954,19768.646163374786
8.0,19798.069162790285,19768.608833408787,19768.876432131983
9.0,19798.06916279028,19768.70913467029,19768.85805855134
